Event,B/S,Symb,Shares,Price,Route,Time,Account,Note,
Execute,Sell,BNTX,50,97.33,SMAT,10:38:49,TRP202239,,
Accept,Sell,BNTX,50,97.3,SMAT,10:38:49,TRP202239,,
Sending,Sell,BNTX,50,97.3,SMAT,10:38:49,TRP202239,,
Execute,Buy,BNTX,50,97.79,SMAT,10:38:11,TRP202239,,
Accept,Buy,BNTX,50,97.82,SMAT,10:38:11,TRP202239,,
Sending,Buy,BNTX,50,97.82,SMAT,10:38:11,TRP202239,,
Execute,Buy,BNTX,50,97.72,SMAT,10:36:32,TRP202239,,
Accept,Buy,BNTX,50,97.75,SMAT,10:36:32,TRP202239,,
Sending,Buy,BNTX,50,97.75,SMAT,10:36:32,TRP202239,,
Execute,Shrt,BNTX,50,97.38,SMAT,10:36:07,TRP202239,,
Accept,Shrt,BNTX,50,97.13,SMAT,10:36:07,TRP202239,,
Sending,Shrt,BNTX,50,97.13,SMAT,10:36:07,TRP202239,,
Execute,Buy,BNTX,50,97.46,SMAT,10:35:23,TRP202239,,
Accept,Buy,BNTX,50,97.49,SMAT,10:35:23,TRP202239,,
Sending,Buy,BNTX,50,97.49,SMAT,10:35:23,TRP202239,,
Execute,Shrt,BNTX,50,96.65,SMAT,10:35:12,TRP202239,,
Accept,Shrt,BNTX,50,96.57,SMAT,10:35:12,TRP202239,,
Sending,Shrt,BNTX,50,96.57,SMAT,10:35:12,TRP202239,,
Execute,Sell,INO,13,25.73,SMAT,10:34:15,TRP202239,,
Accept,Sell,INO,13,25.7,SMAT,10:34:15,TRP202239,,
Sending,Sell,INO,13,25.7,SMAT,10:34:15,TRP202239,,
Execute,Sell,INO,4,25.77,SMAT,10:34:04,TRP202239,,
Accept,Sell,INO,4,25.74,SMAT,10:34:04,TRP202239,,
Sending,Sell,INO,4,25.74,SMAT,10:34:04,TRP202239,,
Execute,Sell,INO,1,25.82,SMAT,10:33:32,TRP202239,,
Accept,Sell,INO,1,25.79,SMAT,10:33:32,TRP202239,,
Sending,Sell,INO,1,25.79,SMAT,10:33:32,TRP202239,,
Execute,Sell,INO,2,25.8,SMAT,10:33:27,TRP202239,,
Accept,Sell,INO,2,25.77,SMAT,10:33:27,TRP202239,,
Sending,Sell,INO,2,25.77,SMAT,10:33:27,TRP202239,,
Execute,Sell,INO,6,25.79,SMAT,10:33:14,TRP202239,,
Accept,Sell,INO,6,25.76,SMAT,10:33:14,TRP202239,,
Sending,Sell,INO,6,25.76,SMAT,10:33:14,TRP202239,,
Execute,Sell,INO,2,25.81,SMAT,10:33:13,TRP202239,,
Accept,Sell,INO,2,25.78,SMAT,10:33:13,TRP202239,,
Sending,Sell,INO,2,25.78,SMAT,10:33:13,TRP202239,,
Execute,Sell,INO,3,25.78,SMAT,10:33:06,TRP202239,,
Accept,Sell,INO,3,25.75,SMAT,10:33:06,TRP202239,,
Sending,Sell,INO,3,25.75,SMAT,10:33:06,TRP202239,,
Execute,Sell,INO,10,25.79,SMAT,10:32:09,TRP202239,,
Accept,Sell,INO,10,25.76,SMAT,10:32:09,TRP202239,,
Sending,Sell,INO,10,25.76,SMAT,10:32:09,TRP202239,,
Execute,Sell,INO,4,25.77,SMAT,10:32:04,TRP202239,,
Accept,Sell,INO,4,25.74,SMAT,10:32:04,TRP202239,,
Sending,Sell,INO,4,25.74,SMAT,10:32:04,TRP202239,,
Execute,Sell,INO,5,25.71,SMAT,10:31:38,TRP202239,,
Accept,Sell,INO,5,25.68,SMAT,10:31:38,TRP202239,,
Sending,Sell,INO,5,25.68,SMAT,10:31:38,TRP202239,,
Execute,Buy,INO,50,25.71,SMAT,10:30:36,TRP202239,,
Accept,Buy,INO,50,25.74,SMAT,10:30:36,TRP202239,,
Sending,Buy,INO,50,25.74,SMAT,10:30:36,TRP202239,,
Execute,Sell,INO,31,25.71,SMAT,10:29:28,TRP202239,,
Accept,Sell,INO,31,25.68,SMAT,10:29:28,TRP202239,,
Sending,Sell,INO,31,25.68,SMAT,10:29:28,TRP202239,,
Execute,Sell,INO,10,25.8,SMAT,10:29:11,TRP202239,,
Accept,Sell,INO,10,25.77,SMAT,10:29:11,TRP202239,,
Sending,Sell,INO,10,25.77,SMAT,10:29:11,TRP202239,,
Execute,Sell,INO,4,25.8,SMAT,10:29:10,TRP202239,,
Accept,Sell,INO,4,25.78,SMAT,10:29:10,TRP202239,,
Sending,Sell,INO,4,25.78,SMAT,10:29:10,TRP202239,,
Execute,Sell,INO,5,25.77,SMAT,10:29:08,TRP202239,,
Accept,Sell,INO,5,25.74,SMAT,10:29:08,TRP202239,,
Sending,Sell,INO,5,25.74,SMAT,10:29:08,TRP202239,,
Execute,Buy,INO,50,25.75,SMAT,10:28:58,TRP202239,,
Accept,Buy,INO,50,25.78,SMAT,10:28:58,TRP202239,,
Sending,Buy,INO,50,25.78,SMAT,10:28:58,TRP202239,,
Execute,Sell,INO,45,25.68,SMAT,10:28:36,TRP202239,,
