Event,B/S,Symb,Shares,Price,Route,Time,Account,Note,
Execute,Sell,NKLA,50,39.46,SMAT,11:43:07,TRP202239,,
Accept,Sell,NKLA,50,39.43,SMAT,11:43:07,TRP202239,,
Sending,Sell,NKLA,50,39.43,SMAT,11:43:07,TRP202239,,
Execute,Buy,NKLA,50,39.83,SMAT,11:39:56,TRP202239,,
Accept,Buy,NKLA,50,39.87,SMAT,11:39:56,TRP202239,,
Sending,Buy,NKLA,50,39.87,SMAT,11:39:56,TRP202239,,
Execute,Sell,NKLA,50,39.74,SMAT,11:39:05,TRP202239,,
Accept,Sell,NKLA,50,39.71,SMAT,11:39:05,TRP202239,,
Sending,Sell,NKLA,50,39.71,SMAT,11:39:05,TRP202239,,
Execute,Buy,NKLA,50,39.75,SMAT,11:38:43,TRP202239,,
Accept,Buy,NKLA,50,39.78,SMAT,11:38:43,TRP202239,,
Sending,Buy,NKLA,50,39.78,SMAT,11:38:43,TRP202239,,
Execute,Sell,NKLA,45,38.84,SMAT,11:26:34,TRP202239,,
Accept,Sell,NKLA,45,38.81,SMAT,11:26:34,TRP202239,,
Sending,Sell,NKLA,45,38.81,SMAT,11:26:34,TRP202239,,
Execute,Sell,NKLA,5,38.97,SMAT,11:23:24,TRP202239,,
Accept,Sell,NKLA,5,38.94,SMAT,11:23:24,TRP202239,,
Sending,Sell,NKLA,5,38.94,SMAT,11:23:24,TRP202239,,
Execute,Buy,NKLA,50,38.98,SMAT,11:22:06,TRP202239,,
Accept,Buy,NKLA,50,39.01,SMAT,11:22:06,TRP202239,,
Sending,Buy,NKLA,50,39.01,SMAT,11:22:06,TRP202239,,
Execute,Sell,NKLA,21,39.39,SMAT,11:16:54,TRP202239,,
Accept,Sell,NKLA,21,39.36,SMAT,11:16:54,TRP202239,,
Sending,Sell,NKLA,21,39.36,SMAT,11:16:54,TRP202239,,
Execute,Sell,NKLA,7,39.45,SMAT,11:16:41,TRP202239,,
Accept,Sell,NKLA,7,39.36,SMAT,11:16:41,TRP202239,,
Sending,Sell,NKLA,7,39.36,SMAT,11:16:41,TRP202239,,
Execute,Sell,NKLA,9,39.35,SMAT,11:16:32,TRP202239,,
Accept,Sell,NKLA,9,39.32,SMAT,11:16:32,TRP202239,,
Sending,Sell,NKLA,9,39.32,SMAT,11:16:32,TRP202239,,
Execute,Sell,NKLA,4,39.35,SMAT,11:16:28,TRP202239,,
Accept,Sell,NKLA,4,39.32,SMAT,11:16:28,TRP202239,,
Sending,Sell,NKLA,4,39.32,SMAT,11:16:28,TRP202239,,
Execute,Sell,NKLA,4,39.26,SMAT,11:16:16,TRP202239,,
Accept,Sell,NKLA,4,39.23,SMAT,11:16:16,TRP202239,,
Sending,Sell,NKLA,4,39.23,SMAT,11:16:16,TRP202239,,
Execute,Sell,NKLA,5,39.23,SMAT,11:16:10,TRP202239,,
Accept,Sell,NKLA,5,39.2,SMAT,11:16:10,TRP202239,,
Sending,Sell,NKLA,5,39.2,SMAT,11:16:10,TRP202239,,
Execute,Buy,NKLA,50,39.19,SMAT,11:12:37,TRP202239,,
Accept,Buy,NKLA,50,39.22,SMAT,11:12:37,TRP202239,,
Sending,Buy,NKLA,50,39.22,SMAT,11:12:37,TRP202239,,
Execute,Sell,NKLA,24,39.81,SMAT,10:57:23,TRP202239,,
Accept,Sell,NKLA,24,39.78,SMAT,10:57:23,TRP202239,,
Sending,Sell,NKLA,24,39.78,SMAT,10:57:23,TRP202239,,
Execute,Sell,NKLA,7,39.84,SMAT,10:57:02,TRP202239,,
Accept,Sell,NKLA,7,39.81,SMAT,10:57:02,TRP202239,,
Sending,Sell,NKLA,7,39.81,SMAT,10:57:02,TRP202239,,
Execute,Sell,NKLA,10,39.89,SMAT,10:56:38,TRP202239,,
Accept,Sell,NKLA,10,39.86,SMAT,10:56:38,TRP202239,,
Sending,Sell,NKLA,10,39.86,SMAT,10:56:38,TRP202239,,
Execute,Sell,NKLA,4,39.82,SMAT,10:55:51,TRP202239,,
Accept,Sell,NKLA,4,39.79,SMAT,10:55:51,TRP202239,,
Sending,Sell,NKLA,4,39.79,SMAT,10:55:51,TRP202239,,
Execute,Sell,NKLA,5,39.82,SMAT,10:55:18,TRP202239,,
Accept,Sell,NKLA,5,39.79,SMAT,10:55:18,TRP202239,,
Sending,Sell,NKLA,5,39.79,SMAT,10:55:18,TRP202239,,
Execute,Buy,NKLA,50,39.78,SMAT,10:54:47,TRP202239,,
Accept,Buy,NKLA,50,39.81,SMAT,10:54:47,TRP202239,,
Sending,Buy,NKLA,50,39.81,SMAT,10:54:47,TRP202239,,
Execute,Sell,NKLA,38,39.72,SMAT,10:53:00,TRP202239,,
Accept,Sell,NKLA,38,39.69,SMAT,10:53:00,TRP202239,,
Sending,Sell,NKLA,38,39.69,SMAT,10:53:00,TRP202239,,
Execute,Sell,NKLA,12,39.71,SMAT,10:52:48,TRP202239,,
Accept,Sell,NKLA,12,39.68,SMAT,10:52:48,TRP202239,,
Sending,Sell,NKLA,12,39.68,SMAT,10:52:48,TRP202239,,
Execute,Buy,NKLA,50,39.66,SMAT,10:52:33,TRP202239,,
Accept,Buy,NKLA,50,39.69,SMAT,10:52:33,TRP202239,,
Sending,Buy,NKLA,50,39.69,SMAT,10:52:33,TRP202239,,
Execute,Sell,NKLA,50,39.27,SMAT,10:50:31,TRP202239,,
Accept,Sell,NKLA,50,39.24,SMAT,10:50:31,TRP202239,,
Sending,Sell,NKLA,50,39.24,SMAT,10:50:31,TRP202239,,
Execute,Buy,NKLA,50,39.54,SMAT,10:50:17,TRP202239,,
Accept,Buy,NKLA,50,39.57,SMAT,10:50:17,TRP202239,,
Sending,Buy,NKLA,50,39.57,SMAT,10:50:17,TRP202239,,
Execute,Sell,NKLA,50,39.02,SMAT,10:46:42,TRP202239,,
Accept,Sell,NKLA,50,38.99,SMAT,10:46:42,TRP202239,,
Sending,Sell,NKLA,50,38.99,SMAT,10:46:42,TRP202239,,
Execute,Buy,NKLA,50,39.32,SMAT,10:45:38,TRP202239,,
Accept,Buy,NKLA,50,39.36,SMAT,10:45:36,TRP202239,,
Sending,Buy,NKLA,50,39.36,SMAT,10:45:36,TRP202239,,
Execute,Sell,NKLA,28,39.35,SMAT,10:43:46,TRP202239,,
Accept,Sell,NKLA,28,39.34,SMAT,10:43:46,TRP202239,,
Sending,Sell,NKLA,28,39.34,SMAT,10:43:46,TRP202239,,
Execute,Sell,NKLA,3,40.04,SMAT,10:39:45,TRP202239,,
Accept,Sell,NKLA,3,40.01,SMAT,10:39:45,TRP202239,,
Sending,Sell,NKLA,3,40.01,SMAT,10:39:45,TRP202239,,
Execute,Sell,NKLA,3,40.08,SMAT,10:39:30,TRP202239,,
Accept,Sell,NKLA,3,40.07,SMAT,10:39:30,TRP202239,,
