Event,B/S,Symb,Shares,Price,Route,Time,Account,Note
Execute,Shrt,AAL,50,13.14,SMAT,10:37:40,TRP204102,
Accept,Shrt,AAL,50,13.11,SMAT,10:37:40,TRP204102,
Sending,Shrt,AAL,50,13.11,SMAT,10:37:40,TRP204102,
Execute,Buy,AAL,50,13.04,SMAT,10:39:50,TRP204102,
Accept,Buy,AAL,50,13.07,SMAT,10:39:50,TRP204102,
Sending,Buy,AAL,50,13.07,SMAT,10:39:50,TRP204102,
Execute,Buy,AAL,50,13.06,SMAT,10:46:24,TRP204102,
Accept,Buy,AAL,50,13.09,SMAT,10:46:24,TRP204102,
Sending,Buy,AAL,50,13.09,SMAT,10:46:24,TRP204102,
Execute,Sell,AAL,50,13.01,SMAT,10:50:14,TRP204102,
Accept,Sell,AAL,50,12.98,SMAT,10:50:14,TRP204102,
Sending,Sell,AAL,50,12.98,SMAT,10:50:14,TRP204102,
Execute,Shrt,AAL,50,12.79,SMAT,11:05:58,TRP204102,
Accept,Shrt,AAL,50,12.76,SMAT,11:05:58,TRP204102,
Sending,Shrt,AAL,50,12.76,SMAT,11:05:58,TRP204102,
Execute,Buy,AAL,50,12.85,SMAT,11:10:17,TRP204102,
Accept,Buy,AAL,50,12.88,SMAT,11:10:17,TRP204102,
Sending,Buy,AAL,50,12.88,SMAT,11:10:17,TRP204102,
