order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Sell,AAL,100,16.45,SMAT,12:31:18,0,41.5,28.5,9
Buy,AAL,50,16.31,SMAT,12:31:28,7,0,0,0
Buy,AAL,50,16.25,SMAT,12:31:39,10,0,0,0
Buy,AAL,100,16.37,SMAT,12:34:44,0,0,0,0
Sell,AAL,25,16.49,SMAT,12:35:57,3,0,0,0
Sell,AAL,37,16.59,SMAT,12:36:13,8.14,0,0,0
Sell,AAL,9,16.74,SMAT,12:37:42,3.33,0,0,0
Sell,AAL,29,16.8,SMAT,12:38:02,12.47,0,0,0
Buy,AAL,100,17.05,SMAT,12:42:04,0,0,0,0
Sell,AAL,100,16.88,SMAT,12:43:03,-17,0,0,0
Sell,AAL,100,16.7,SMAT,12:45:11,0,0,0,0
Buy,AAL,25,16.61,SMAT,12:46:25,2.25,0,0,0
Buy,AAL,18,16.51,SMAT,12:47:30,3.42,0,0,0
Buy,AAL,57,16.58,SMAT,12:48:27,6.84,0,0,0
Buy,AAL,100,16.65,SMAT,12:49:06,0,0,0,0
Sell,AAL,100,16.55,SMAT,12:49:38,-10,0,0,0
Sell,AAL,100,16.57,SMAT,12:55:02,0,0,0,0
Buy,AAL,100,16.59,SMAT,12:55:15,-2,0,0,0
Buy,AAL,100,16.79,SMAT,12:58:45,0,0,0,0
Sell,AAL,25,16.89,SMAT,13:00:10,2.5,0,0,0
Sell,AAL,18,16.98,SMAT,13:02:00,3.42,0,0,0
Sell,AAL,57,16.88,SMAT,13:02:31,5.13,0,0,0
Buy,AAL,100,16.95,SMAT,13:02:55,0,0,0,0
Sell,AAL,100,16.95,SMAT,13:04:36,0,0,0,0
Buy,AAL,100,17.05,SMAT,13:08:21,0,0,0,0
Sell,AAL,25,17.14,SMAT,13:09:13,2.25,0,0,0
Sell,AAL,75,17.06,SMAT,13:14:06,0.75,0,0,0
