order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Sell,INO,40,28.15,SMAT,12:31:43,0,50.5,35.5,12
Buy,INO,40,27.84,SMAT,12:31:45,12.4,0,0,0
Sell,INO,40,27,SMAT,12:34:34,0,0,0,0
Buy,INO,40,26.92,SMAT,12:34:43,3.2,0,0,0
Sell,INO,40,26.06,SMAT,12:36:32,0,0,0,0
Buy,INO,40,25.97,SMAT,12:37:01,3.6,0,0,0
Sell,INO,40,25.91,SMAT,12:37:47,0,0,0,0
Buy,INO,40,25.62,SMAT,12:38:06,11.6,0,0,0
Buy,INO,40,25.68,SMAT,12:41:09,0,0,0,0
Sell,INO,10,25.9,SMAT,12:41:27,2.2,0,0,0
Sell,INO,30,26.27,SMAT,12:41:48,17.7,0,0,0
Buy,INO,40,26.59,SMAT,12:42:27,0,0,0,0
Sell,INO,40,26.3,SMAT,12:42:54,-11.6,0,0,0
Buy,INO,40,26.69,SMAT,12:43:29,0,0,0,0
Sell,INO,10,26.82,SMAT,12:43:38,1.3,0,0,0
Sell,INO,30,26.96,SMAT,12:44:10,8.1,0,0,0
Buy,INO,40,26.86,SMAT,12:44:42,0,0,0,0
Sell,INO,10,26.98,SMAT,12:45:16,1.2,0,0,0
Sell,INO,15,27.17,SMAT,12:45:28,4.65,0,0,0
Sell,INO,15,27.3,SMAT,12:45:35,6.6,0,0,0
Buy,INO,40,27.6,SMAT,12:46:09,0,0,0,0
Sell,INO,10,27.67,SMAT,12:46:28,0.7,0,0,0
Sell,INO,30,27.32,SMAT,12:46:33,-8.4,0,0,0
Buy,INO,40,26.94,SMAT,12:46:59,0,0,0,0
Sell,INO,10,27.15,SMAT,12:47:54,2.1,0,0,0
Sell,INO,15,27.34,SMAT,12:48:08,6,0,0,0
Sell,INO,15,27.31,SMAT,12:48:42,5.55,0,0,0
Buy,INO,40,27.4,SMAT,12:50:14,0,0,0,0
Sell,INO,40,27.15,SMAT,12:50:34,-10,0,0,0
Buy,INO,40,27.28,SMAT,12:51:23,0,0,0,0
Sell,INO,40,27.12,SMAT,12:52:13,-6.4,0,0,0
