order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,AAL,100,21.5,SMAT,12:32:14,0.0,133.31,115.31,12
Sell,AAL,50,21.72,SMAT,12:32:41,11.0,0.0,0.0,0
Sell,AAL,50,21.25,SMAT,12:33:22,-12.5,0.0,0.0,0
Buy,AAL,100,21.43,SMAT,12:33:44,0.0,0.0,0.0,0
Sell,AAL,50,21.79,SMAT,12:34:11,18.0,0.0,0.0,0
Sell,AAL,12,21.94,SMAT,12:34:23,6.12,0.0,0.0,0
Sell,AAL,19,21.84,SMAT,12:34:32,7.79,0.0,0.0,0
Sell,AAL,19,21.63,SMAT,12:35:04,3.8,0.0,0.0,0
Buy,AAL,100,21.68,SMAT,12:35:58,0.0,0.0,0.0,0
Sell,AAL,100,21.51,SMAT,12:36:03,-17.0,0.0,0.0,0
Buy,AAL,100,21.45,SMAT,12:38:56,0.0,0.0,0.0,0
Sell,AAL,100,21.37,SMAT,12:39:45,-8.0,0.0,0.0,0
Buy,AAL,100,21.5,SMAT,12:40:11,0.0,0.0,0.0,0
Sell,AAL,100,21.68,SMAT,12:40:21,18.0,0.0,0.0,0
Buy,AAL,100,21.56,SMAT,12:40:34,0.0,0.0,0.0,0
Sell,AAL,50,21.87,SMAT,12:41:36,15.5,0.0,0.0,0
Sell,AAL,12,21.94,SMAT,12:42:31,4.56,0.0,0.0,0
Sell,AAL,38,21.6,SMAT,12:42:50,1.52,0.0,0.0,0
Buy,AAL,100,21.69,SMAT,12:42:59,0.0,0.0,0.0,0
Sell,AAL,50,21.95,SMAT,12:43:18,13.0,0.0,0.0,0
Sell,AAL,12,21.88,SMAT,12:43:31,2.28,0.0,0.0,0
Sell,AAL,38,22.17,SMAT,12:43:38,18.24,0.0,0.0,0
Buy,AAL,100,22.49,SMAT,12:46:02,0.0,0.0,0.0,0
Sell,AAL,50,22.66,SMAT,12:46:11,8.5,0.0,0.0,0
Sell,AAL,50,22.38,SMAT,12:46:26,-5.5,0.0,0.0,0
Sell,AAL,100,22.15,SMAT,12:47:54,0.0,0.0,0.0,0
Buy,AAL,100,22.04,SMAT,12:47:59,11.0,0.0,0.0,0
Buy,AAL,100,22.26,SMAT,12:49:06,0.0,0.0,0.0,0
Sell,AAL,100,22.0,SMAT,12:50:56,-26.0,0.0,0.0,0
Sell,AAL,100,22.0,SMAT,12:51:42,0.0,0.0,0.0,0
Buy,AAL,50,21.74,SMAT,12:51:58,13.0,0.0,0.0,0
Buy,AAL,25,21.61,SMAT,12:52:32,9.75,0.0,0.0,0
Buy,AAL,25,21.61,SMAT,12:52:36,9.75,0.0,0.0,0
Sell,AAL,100,21.52,SMAT,12:56:04,0.0,0.0,0.0,0
Buy,AAL,50,21.28,SMAT,12:56:14,12.0,0.0,0.0,0
Buy,AAL,50,21.15,SMAT,12:56:27,18.5,0.0,0.0,0
