Event,B/S,Symb,Shares,Price,Route,Time,Account,Note,
Execute,Buy,AMD,50,56.74,SMAT,10:46:26,TRP202239,,
Accept,Buy,AMD,50,56.77,SMAT,10:46:26,TRP202239,,
Sending,Buy,AMD,50,56.77,SMAT,10:46:26,TRP202239,,
Execute,Shrt,AMD,50,56.66,SMAT,10:45:45,TRP202239,,
Accept,Shrt,AMD,50,56.63,SMAT,10:45:45,TRP202239,,
Sending,Shrt,AMD,50,56.63,SMAT,10:45:45,TRP202239,,
Execute,Buy,AMD,45,56.77,SMAT,10:44:37,TRP202239,,
Accept,Buy,AMD,45,56.8,SMAT,10:44:37,TRP202239,,
Sending,Buy,AMD,45,56.8,SMAT,10:44:37,TRP202239,,
Execute,Buy,AMD,5,56.73,SMAT,10:44:10,TRP202239,,
Accept,Buy,AMD,5,56.76,SMAT,10:44:09,TRP202239,,
Sending,Buy,AMD,5,56.76,SMAT,10:44:09,TRP202239,,
Execute,Shrt,AMD,50,56.77,SMAT,10:44:03,TRP202239,,
Accept,Shrt,AMD,50,56.74,SMAT,10:44:03,TRP202239,,
Sending,Shrt,AMD,50,56.74,SMAT,10:44:03,TRP202239,,
Execute,Sell,IMRN,50,16.69,SMAT,10:32:44,TRP202239,,
Accept,Sell,IMRN,50,16.66,SMAT,10:32:44,TRP202239,,
Sending,Sell,IMRN,50,16.66,SMAT,10:32:44,TRP202239,,
Execute,Buy,IMRN,50,16.75,SMAT,10:32:44,TRP202239,,
Accept,Buy,IMRN,50,16.78,SMAT,10:32:44,TRP202239,,
Sending,Buy,IMRN,50,16.78,SMAT,10:32:44,TRP202239,,
Execute,Sell,IMRN,38,16.51,SMAT,10:32:24,TRP202239,,
Accept,Sell,IMRN,38,16.47,SMAT,10:32:24,TRP202239,,
Sending,Sell,IMRN,38,16.47,SMAT,10:32:24,TRP202239,,
Execute,Sell,IMRN,12,16.5,SMAT,10:32:23,TRP202239,,
Accept,Sell,IMRN,12,16.47,SMAT,10:32:23,TRP202239,,
Sending,Sell,IMRN,12,16.47,SMAT,10:32:23,TRP202239,,
Execute,Buy,IMRN,50,16.55,SMAT,10:32:17,TRP202239,,
Accept,Buy,IMRN,50,16.58,SMAT,10:32:17,TRP202239,,
Sending,Buy,IMRN,50,16.58,SMAT,10:32:17,TRP202239,,
Execute,Sell,IMRN,12,16.7,SMAT,10:27:57,TRP202239,,
Accept,Sell,IMRN,12,16.67,SMAT,10:27:57,TRP202239,,
Sending,Sell,IMRN,12,16.67,SMAT,10:27:57,TRP202239,,
Execute,Sell,IMRN,3,16.88,SMAT,10:27:49,TRP202239,,
Accept,Sell,IMRN,3,16.85,SMAT,10:27:49,TRP202239,,
Sending,Sell,IMRN,3,16.85,SMAT,10:27:49,TRP202239,,
Execute,Sell,IMRN,5,16.73,SMAT,10:27:38,TRP202239,,
Accept,Sell,IMRN,5,16.7,SMAT,10:27:38,TRP202239,,
Sending,Sell,IMRN,5,16.7,SMAT,10:27:38,TRP202239,,
Execute,Sell,IMRN,6,16.73,SMAT,10:27:36,TRP202239,,
Accept,Sell,IMRN,6,16.7,SMAT,10:27:36,TRP202239,,
Sending,Sell,IMRN,6,16.7,SMAT,10:27:36,TRP202239,,
Execute,Sell,IMRN,8,16.72,SMAT,10:27:23,TRP202239,,
Accept,Sell,IMRN,8,16.69,SMAT,10:27:23,TRP202239,,
Sending,Sell,IMRN,8,16.69,SMAT,10:27:23,TRP202239,,
Execute,Sell,IMRN,11,16.79,SMAT,10:27:21,TRP202239,,
Accept,Sell,IMRN,11,16.79,SMAT,10:27:21,TRP202239,,
Sending,Sell,IMRN,11,16.79,SMAT,10:27:21,TRP202239,,
Execute,Sell,IMRN,5,16.8,SMAT,10:27:14,TRP202239,,
Accept,Sell,IMRN,5,16.71,SMAT,10:27:14,TRP202239,,
Sending,Sell,IMRN,5,16.71,SMAT,10:27:14,TRP202239,,
Execute,Buy,IMRN,50,16.79,SMAT,10:26:08,TRP202239,,
Accept,Buy,IMRN,50,16.82,SMAT,10:26:08,TRP202239,,
Sending,Buy,IMRN,50,16.82,SMAT,10:26:08,TRP202239,,
Execute,Sell,IMRN,13,16.75,SMAT,10:23:07,TRP202239,,
Accept,Sell,IMRN,13,16.72,SMAT,10:23:07,TRP202239,,
Sending,Sell,IMRN,13,16.72,SMAT,10:23:07,TRP202239,,
Execute,Sell,IMRN,4,16.9,SMAT,10:23:03,TRP202239,,
Accept,Sell,IMRN,4,16.87,SMAT,10:23:03,TRP202239,,
Sending,Sell,IMRN,4,16.87,SMAT,10:23:03,TRP202239,,
Execute,Sell,IMRN,5,16.85,SMAT,10:22:58,TRP202239,,
Accept,Sell,IMRN,5,16.82,SMAT,10:22:58,TRP202239,,
Sending,Sell,IMRN,5,16.82,SMAT,10:22:58,TRP202239,,
Execute,Sell,IMRN,7,16.83,SMAT,10:22:56,TRP202239,,
Accept,Sell,IMRN,7,16.8,SMAT,10:22:56,TRP202239,,
Sending,Sell,IMRN,7,16.8,SMAT,10:22:56,TRP202239,,
Execute,Sell,IMRN,9,16.82,SMAT,10:22:52,TRP202239,,
Accept,Sell,IMRN,9,16.79,SMAT,10:22:52,TRP202239,,
Sending,Sell,IMRN,9,16.79,SMAT,10:22:52,TRP202239,,
Execute,Sell,IMRN,12,16.82,SMAT,10:22:50,TRP202239,,
Accept,Sell,IMRN,12,16.79,SMAT,10:22:50,TRP202239,,
Sending,Sell,IMRN,12,16.79,SMAT,10:22:50,TRP202239,,
Execute,Buy,IMRN,50,16.88,SMAT,10:22:32,TRP202239,,
Accept,Buy,IMRN,50,16.91,SMAT,10:22:32,TRP202239,,
Sending,Buy,IMRN,50,16.91,SMAT,10:22:32,TRP202239,,
Send_Rej,Shrt,IMRN,50,17.27,SMAT,10:21:32,TRP202239,Security is not shortable![1279],
Execute,Sell,IMRN,50,17.12,SMAT,10:20:05,TRP202239,,
Accept,Sell,IMRN,50,17.09,SMAT,10:20:05,TRP202239,,
Sending,Sell,IMRN,50,17.09,SMAT,10:20:05,TRP202239,,
Execute,Buy,IMRN,50,17.3,SMAT,10:18:57,TRP202239,,
Accept,Buy,IMRN,50,17.47,SMAT,10:18:57,TRP202239,,
Sending,Buy,IMRN,50,17.47,SMAT,10:18:57,TRP202239,,
Execute,Sell,BNTX,15,95.46,SMAT,10:18:27,TRP202239,,
Accept,Sell,BNTX,15,95.43,SMAT,10:18:27,TRP202239,,
Sending,Sell,BNTX,15,95.43,SMAT,10:18:27,TRP202239,,
Execute,Sell,BNTX,5,95.46,SMAT,10:18:14,TRP202239,,
Accept,Sell,BNTX,5,95.43,SMAT,10:18:14,TRP202239,,
Sending,Sell,BNTX,5,95.43,SMAT,10:18:14,TRP202239,,
Execute,Sell,BNTX,6,95.54,SMAT,10:17:49,TRP202239,,
Accept,Sell,BNTX,6,95.51,SMAT,10:17:49,TRP202239,,
Sending,Sell,BNTX,6,95.51,SMAT,10:17:49,TRP202239,,
Execute,Sell,BNTX,8,95.53,SMAT,10:17:39,TRP202239,,
Accept,Sell,BNTX,8,95.5,SMAT,10:17:39,TRP202239,,
Sending,Sell,BNTX,8,95.5,SMAT,10:17:39,TRP202239,,
Execute,Sell,BNTX,11,95.72,SMAT,10:17:20,TRP202239,,
Accept,Sell,BNTX,11,95.69,SMAT,10:17:20,TRP202239,,
Sending,Sell,BNTX,11,95.69,SMAT,10:17:20,TRP202239,,
Execute,Sell,BNTX,5,95.72,SMAT,10:17:20,TRP202239,,
Accept,Sell,BNTX,5,95.69,SMAT,10:17:20,TRP202239,,
Sending,Sell,BNTX,5,95.69,SMAT,10:17:20,TRP202239,,
Execute,Buy,BNTX,50,95.6,SMAT,10:17:14,TRP202239,,
Accept,Buy,BNTX,50,95.63,SMAT,10:17:14,TRP202239,,
Sending,Buy,BNTX,50,95.63,SMAT,10:17:14,TRP202239,,
Execute,Sell,BNTX,50,95.79,SMAT,10:16:33,TRP202239,,
Accept,Sell,BNTX,50,95.76,SMAT,10:16:33,TRP202239,,
Sending,Sell,BNTX,50,95.76,SMAT,10:16:33,TRP202239,,
Execute,Buy,BNTX,50,96.44,SMAT,10:16:03,TRP202239,,
Accept,Buy,BNTX,50,96.47,SMAT,10:16:03,TRP202239,,
Sending,Buy,BNTX,50,96.47,SMAT,10:16:03,TRP202239,,
Send_Rej,Shrt,IMRN,50,16.69,SMAT,10:03:16,TRP202239,Security is not shortable![1279],
Send_Rej,Shrt,IMRN,50,16.69,SMAT,10:03:16,TRP202239,Security is not shortable![1279],
Send_Rej,Shrt,IMRN,50,16.72,SMAT,10:03:16,TRP202239,Security is not shortable![1279],
Send_Rej,Shrt,IMRN,50,16.72,SMAT,10:03:16,TRP202239,Security is not shortable![1279],
Send_Rej,Shrt,IMRN,50,16.73,SMAT,10:03:16,TRP202239,Security is not shortable![1279],
Send_Rej,Shrt,IMRN,50,16.73,SMAT,10:03:15,TRP202239,Security is not shortable![1279],
Send_Rej,Shrt,IMRN,50,16.73,SMAT,10:03:15,TRP202239,Security is not shortable![1279],
Send_Rej,Shrt,IMRN,50,16.73,SMAT,10:03:15,TRP202239,Security is not shortable![1279],
Send_Rej,Shrt,IMRN,50,16.73,SMAT,10:03:12,TRP202239,Security is not shortable![1279],
Execute,Sell,IMRN,50,16.76,SMAT,10:03:06,TRP202239,,
Accept,Sell,IMRN,50,16.73,SMAT,10:03:06,TRP202239,,
Sending,Sell,IMRN,50,16.73,SMAT,10:03:06,TRP202239,,
Execute,Buy,IMRN,50,17,SMAT,10:02:56,TRP202239,,
Accept,Buy,IMRN,50,17.03,SMAT,10:02:56,TRP202239,,
Sending,Buy,IMRN,50,17.03,SMAT,10:02:56,TRP202239,,
Execute,Sell,IMRN,35,16.86,SMAT,10:02:42,TRP202239,,
Accept,Sell,IMRN,35,16.83,SMAT,10:02:42,TRP202239,,
Sending,Sell,IMRN,35,16.83,SMAT,10:02:42,TRP202239,,
Execute,Sell,IMRN,3,16.86,SMAT,10:02:37,TRP202239,,
Accept,Sell,IMRN,3,16.83,SMAT,10:02:37,TRP202239,,
Sending,Sell,IMRN,3,16.83,SMAT,10:02:37,TRP202239,,
Execute,Sell,IMRN,12,16.83,SMAT,10:02:34,TRP202239,,
Accept,Sell,IMRN,12,16.8,SMAT,10:02:34,TRP202239,,
Sending,Sell,IMRN,12,16.8,SMAT,10:02:34,TRP202239,,
Execute,Buy,IMRN,50,16.84,SMAT,10:02:23,TRP202239,,
Accept,Buy,IMRN,50,16.87,SMAT,10:02:23,TRP202239,,
Sending,Buy,IMRN,50,16.87,SMAT,10:02:23,TRP202239,,
Execute,Sell,IMRN,50,17.03,SMAT,10:00:06,TRP202239,,
Accept,Sell,IMRN,50,17,SMAT,10:00:06,TRP202239,,
Sending,Sell,IMRN,50,17,SMAT,10:00:06,TRP202239,,
Execute,Buy,IMRN,50,17.61,SMAT,09:59:09,TRP202239,,
Accept,Buy,IMRN,50,17.64,SMAT,09:59:09,TRP202239,,
Sending,Buy,IMRN,50,17.64,SMAT,09:59:09,TRP202239,,
Execute,Sell,IMRN,50,18.5,SMAT,09:57:13,TRP202239,,
Accept,Sell,IMRN,50,18.47,SMAT,09:57:13,TRP202239,,
Sending,Sell,IMRN,50,18.47,SMAT,09:57:13,TRP202239,,
Execute,Buy,IMRN,50,18.76,SMAT,09:57:05,TRP202239,,
Accept,Buy,IMRN,50,18.78,SMAT,09:57:05,TRP202239,,
Sending,Buy,IMRN,50,18.78,SMAT,09:57:05,TRP202239,,
Execute,Sell,IMRN,15,18.8,SMAT,09:55:25,TRP202239,,
