order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl
Buy,ZM,50,183.26,SMAT,12:30:03,0.0,-234.0,-255.0
Sell,ZM,50,183.08,SMAT,12:30:09,-9.0,0.0,0.0
Buy,ZM,50,183.88,SMAT,12:30:19,0.0,0.0,0.0
Sell,ZM,50,183.9,SMAT,12:30:28,1.0,0.0,0.0
Buy,ZM,50,185.4,SMAT,12:30:51,0.0,0.0,0.0
Sell,ZM,50,185.56,SMAT,12:30:57,8.0,0.0,0.0
Buy,ZM,50,188.48,SMAT,12:33:21,0.0,0.0,0.0
Sell,ZM,50,187.64,SMAT,12:33:47,-42.0,0.0,0.0
Sell,ZM,50,187.85,SMAT,12:34:09,0.0,0.0,0.0
Buy,ZM,50,188.4,SMAT,12:34:22,-27.5,0.0,0.0
Buy,ZM,50,188.9,SMAT,12:34:27,0.0,0.0,0.0
Sell,ZM,25,189.58,SMAT,12:34:58,17.0,0.0,0.0
Sell,ZM,25,189.27,SMAT,12:35:55,9.25,0.0,0.0
Buy,ZM,50,190.5,SMAT,12:36:51,0.0,0.0,0.0
Sell,ZM,50,189.81,SMAT,12:38:00,-34.5,0.0,0.0
Buy,ZM,50,190.6,SMAT,12:38:11,0.0,0.0,0.0
Sell,ZM,50,191.2,SMAT,12:38:24,30.0,0.0,0.0
Buy,ZM,50,190.75,SMAT,12:41:23,0.0,0.0,0.0
Sell,ZM,25,191.59,SMAT,12:41:45,21.0,0.0,0.0
Sell,ZM,25,191.81,SMAT,12:41:48,26.5,0.0,0.0
Buy,ZM,50,192.14,SMAT,12:42:26,0.0,0.0,0.0
Sell,ZM,50,192.25,SMAT,12:42:55,5.5,0.0,0.0
Buy,ZM,50,192.49,SMAT,12:43:38,0.0,0.0,0.0
Sell,ZM,50,192.17,SMAT,12:44:27,-16.0,0.0,0.0
Buy,ZM,50,192.96,SMAT,12:44:58,0.0,0.0,0.0
Sell,ZM,50,191.76,SMAT,12:45:21,-60.0,0.0,0.0
Buy,ZM,50,192.98,SMAT,12:46:06,0.0,0.0,0.0
Sell,ZM,50,191.62,SMAT,12:46:40,-68.0,0.0,0.0
Sell,ZM,50,191.4,SMAT,12:46:47,0.0,0.0,0.0
Buy,ZM,50,192.2,SMAT,12:47:31,-40.0,0.0,0.0
Buy,ZM,50,192.4,SMAT,12:48:47,0.0,0.0,0.0
Sell,ZM,25,192.9,SMAT,12:49:01,12.5,0.0,0.0
Sell,ZM,25,193.43,SMAT,12:49:06,25.75,0.0,0.0
Sell,ZM,50,192.14,SMAT,12:51:33,0.0,0.0,0.0
Buy,ZM,50,192.74,SMAT,12:52:48,-30.0,0.0,0.0
Sell,ZM,50,191.7,SMAT,12:53:17,0.0,0.0,0.0
Buy,ZM,50,192.69,SMAT,12:54:19,-49.5,0.0,0.0
Buy,ZM,50,193.5,SMAT,12:54:55,0.0,0.0,0.0
Sell,ZM,50,193.76,SMAT,12:57:01,13.0,0.0,0.0
Sell,ZM,50,193.67,SMAT,12:57:10,0.0,0.0,0.0
Buy,ZM,50,194.1,SMAT,12:57:15,-21.5,0.0,0.0
Buy,ZM,50,194.99,SMAT,12:59:16,0.0,0.0,0.0
Sell,ZM,50,194.88,SMAT,12:59:23,-5.5,0.0,0.0
