Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:30:03,ZM,B,183.26,50,SMAT,,TRP202239,Margin,
12:30:09,ZM,SS,183.08,50,SMAT,,TRP202239,Short,
12:30:19,ZM,B,183.88,50,SMAT,,TRP202239,Margin,
12:30:28,ZM,SS,183.9,50,SMAT,,TRP202239,Short,
12:30:51,ZM,B,185.4,50,SMAT,,TRP202239,Margin,
12:30:57,ZM,SS,185.56,50,SMAT,,TRP202239,Short,
12:33:21,ZM,B,188.48,50,SMAT,,TRP202239,Margin,
12:33:47,ZM,SS,187.64,50,SMAT,,TRP202239,Short,
12:34:09,ZM,SS,187.85,50,SMAT,,TRP202239,Short,
12:34:22,ZM,B,188.4,50,SMAT,,TRP202239,Margin,
12:34:27,ZM,B,188.9,50,SMAT,,TRP202239,Margin,
12:34:58,ZM,SS,189.58,25,SMAT,,TRP202239,Short,
12:35:55,ZM,SS,189.27,25,SMAT,,TRP202239,Short,
12:36:51,ZM,B,190.5,50,SMAT,,TRP202239,Margin,
12:38:00,ZM,SS,189.81,50,SMAT,,TRP202239,Short,
12:38:11,ZM,B,190.6,50,SMAT,,TRP202239,Margin,
12:38:24,ZM,SS,191.2,50,SMAT,,TRP202239,Short,
12:41:23,ZM,B,190.75,50,SMAT,,TRP202239,Margin,
12:41:45,ZM,SS,191.59,25,SMAT,,TRP202239,Short,
12:41:48,ZM,SS,191.81,25,SMAT,,TRP202239,Short,
12:42:26,ZM,B,192.14,50,SMAT,,TRP202239,Margin,
12:42:55,ZM,SS,192.25,50,SMAT,,TRP202239,Short,
12:43:38,ZM,B,192.49,50,SMAT,,TRP202239,Margin,
12:44:27,ZM,SS,192.17,50,SMAT,,TRP202239,Short,
12:44:58,ZM,B,192.96,50,SMAT,,TRP202239,Margin,
12:45:21,ZM,SS,191.76,50,SMAT,,TRP202239,Short,
12:46:06,ZM,B,192.98,50,SMAT,,TRP202239,Margin,
12:46:40,ZM,SS,191.62,50,SMAT,,TRP202239,Short,
12:46:47,ZM,SS,191.4,50,SMAT,,TRP202239,Short,
12:47:31,ZM,B,192.2,50,SMAT,,TRP202239,Margin,
12:48:47,ZM,B,192.4,50,SMAT,,TRP202239,Margin,
12:49:01,ZM,SS,192.9,25,SMAT,,TRP202239,Short,
12:49:06,ZM,SS,193.43,25,SMAT,,TRP202239,Short,
12:51:33,ZM,SS,192.14,50,SMAT,,TRP202239,Short,
12:52:48,ZM,B,192.74,50,SMAT,,TRP202239,Margin,
12:53:17,ZM,SS,191.7,50,SMAT,,TRP202239,Short,
12:54:19,ZM,B,192.69,50,SMAT,,TRP202239,Margin,
12:54:55,ZM,B,193.5,50,SMAT,,TRP202239,Margin,
12:57:01,ZM,SS,193.76,50,SMAT,,TRP202239,Short,
12:57:10,ZM,SS,193.67,50,SMAT,,TRP202239,Short,
12:57:15,ZM,B,194.1,50,SMAT,,TRP202239,Margin,
12:59:16,ZM,B,194.99,50,SMAT,,TRP202239,Margin,
12:59:23,ZM,SS,194.88,50,SMAT,,TRP202239,Short,
