order_type,ticker,size,price_filled,route,time_filled
Shrt,BNTX,50,97.22,SMAT,09:30:01
Buy,BNTX,5,96.98,SMAT,09:30:07
Buy,BNTX,45,96.98,SMAT,09:30:08
Buy,BNTX,50,96.99,SMAT,09:33:03
Sell,BNTX,5,97.24,SMAT,09:33:15
Sell,BNTX,45,96.9,SMAT,09:33:46
Shrt,BNTX,50,95.81,SMAT,09:35:19
Buy,BNTX,50,96.7,SMAT,09:35:41
Buy,BNTX,50,96.72,SMAT,09:36:05
Sell,BNTX,12,96.66,SMAT,09:36:12
Sell,BNTX,9,96.78,SMAT,09:36:15
Sell,BNTX,7,97.04,SMAT,09:36:19
Sell,BNTX,2,96.84,SMAT,09:36:32
Sell,BNTX,20,96.46,SMAT,09:36:37
Shrt,NKLA,50,36.01,SMAT,09:37:27
Buy,NKLA,50,36.18,SMAT,09:39:02
Shrt,INO,50,25.86,SMAT,09:42:43
Buy,INO,50,25.88,SMAT,09:44:20
Buy,INO,50,25.94,SMAT,09:44:33
Sell,INO,50,25.8,SMAT,09:45:14
Buy,BNTX,50,95.89,SMAT,09:48:38
Sell,BNTX,5,95.91,SMAT,09:48:52
Sell,BNTX,4,96.24,SMAT,09:49:26
Sell,BNTX,4,96.19,SMAT,09:49:46
Sell,BNTX,9,96.22,SMAT,09:49:59
Sell,BNTX,2,96.13,SMAT,09:50:50
Sell,BNTX,26,96.05,SMAT,09:51:53
Buy,BNTX,50,98.61,SMAT,09:57:16
Sell,BNTX,50,97.56,SMAT,09:57:54
Buy,BNTX,50,98.99,SMAT,09:59:06
Sell,BNTX,50,98.53,SMAT,10:01:16
Buy,BNTX,50,99.04,SMAT,10:02:19
Sell,BNTX,5,99.07,SMAT,10:02:26
Sell,BNTX,11,99.24,SMAT,10:02:55
Sell,BNTX,8,99.15,SMAT,10:03:12
Sell,BNTX,26,99.38,SMAT,10:03:23
Shrt,BNTX,50,99.4,SMAT,10:04:16
Buy,BNTX,50,99.85,SMAT,10:05:56
Buy,INO,50,25.9,SMAT,10:09:37
Sell,INO,50,25.75,SMAT,10:11:05
Buy,BNTX,50,98.39,SMAT,10:14:15
Sell,BNTX,50,97.62,SMAT,10:14:53
Shrt,BNTX,50,97.15,SMAT,10:15:08
Buy,BNTX,50,97.67,SMAT,10:15:55
Buy,BNTX,50,97.54,SMAT,10:16:01
Sell,BNTX,50,97.3,SMAT,10:16:29
Buy,BNTX,50,97.75,SMAT,10:26:04
Sell,BNTX,50,97.1,SMAT,10:27:52
Shrt,BNTX,50,96.03,SMAT,10:31:19
Buy,BNTX,50,96.22,SMAT,10:32:04
