order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Sell,INO,50,16.61,SMAT,12:31:04,0,73.28,38.28,20
Buy,INO,12,16.54,SMAT,12:31:20,0.84,0,0,0
Buy,INO,38,16.48,SMAT,12:31:22,4.94,0,0,0
Sell,INO,50,16.39,SMAT,12:33:02,0,0,0,0
Buy,INO,12,16.36,SMAT,12:34:47,0.36,0,0,0
Buy,INO,9,16.16,SMAT,12:35:02,2.07,0,0,0
Buy,INO,14,16.03,SMAT,12:35:56,5.04,0,0,0
Buy,INO,15,16.2,SMAT,12:37:25,2.85,0,0,0
Buy,INO,50,16.27,SMAT,12:38:54,0,0,0,0
Sell,INO,12,16.38,SMAT,12:41:46,1.32,0,0,0
Sell,INO,9,16.5,SMAT,12:43:12,2.07,0,0,0
Sell,INO,29,16.38,SMAT,12:45:03,3.19,0,0,0
Buy,INO,50,16.56,SMAT,12:47:24,0,0,0,0
Sell,INO,12,16.69,SMAT,12:50:05,1.56,0,0,0
Sell,INO,9,16.78,SMAT,12:50:26,1.98,0,0,0
Sell,INO,14,16.85,SMAT,12:51:27,4.06,0,0,0
Sell,INO,15,16.67,SMAT,12:52:44,1.65,0,0,0
Buy,INO,50,16.9,SMAT,12:53:32,0,0,0,0
Sell,INO,12,16.98,SMAT,12:56:07,0.96,0,0,0
Sell,INO,9,17.06,SMAT,12:56:46,1.44,0,0,0
Sell,INO,14,17.22,SMAT,12:58:15,4.48,0,0,0
Sell,INO,15,17.29,SMAT,12:59:44,5.85,0,0,0
Buy,INO,50,17.2,SMAT,13:01:05,0,0,0,0
Sell,INO,12,17.29,SMAT,13:01:50,1.08,0,0,0
Sell,INO,19,17.39,SMAT,13:02:37,3.61,0,0,0
Sell,INO,19,17.5,SMAT,13:03:56,5.7,0,0,0
Sell,INO,50,17.28,SMAT,13:06:18,0,0,0,0
Buy,INO,50,17.4,SMAT,13:06:44,-6,0,0,0
Buy,INO,50,17.42,SMAT,13:07:28,0,0,0,0
Sell,INO,12,17.5,SMAT,13:08:07,0.96,0,0,0
Sell,INO,9,17.62,SMAT,13:10:13,1.8,0,0,0
Sell,INO,14,17.7,SMAT,13:10:43,3.92,0,0,0
Sell,INO,15,17.85,SMAT,13:11:51,6.45,0,0,0
Sell,INO,50,18.04,SMAT,13:15:32,0,0,0,0
Buy,INO,12,17.92,SMAT,13:16:04,1.44,0,0,0
Buy,INO,38,18.1,SMAT,13:17:40,-2.28,0,0,0
Buy,INO,50,18.1,SMAT,13:18:00,0,0,0,0
Sell,INO,12,18.25,SMAT,13:19:17,1.8,0,0,0
Sell,INO,19,18.31,SMAT,13:19:21,3.99,0,0,0
Sell,INO,19,18.11,SMAT,13:21:08,0.19,0,0,0
Sell,INO,50,18,SMAT,13:21:42,0,0,0,0
Buy,INO,12,17.9,SMAT,13:21:57,1.2,0,0,0
Buy,INO,19,17.78,SMAT,13:21:58,4.18,0,0,0
Buy,INO,19,17.98,SMAT,13:22:06,0.38,0,0,0
Buy,INO,50,18,SMAT,13:23:12,0,0,0,0
Sell,INO,50,17.83,SMAT,13:24:22,-8.5,0,0,0
Sell,INO,50,17.69,SMAT,13:25:07,0,0,0,0
Buy,INO,50,17.8,SMAT,13:26:40,-5.5,0,0,0
Buy,INO,50,18,SMAT,13:30:19,0,0,0,0
Sell,INO,50,17.88,SMAT,13:31:11,-6,0,0,0
Buy,INO,50,17.9,SMAT,13:32:32,0,0,0,0
Sell,INO,50,17.8,SMAT,13:35:43,-5,0,0,0
Sell,INO,50,17.77,SMAT,13:37:36,0,0,0,0
Buy,INO,12,17.72,SMAT,13:37:45,0.6,0,0,0
Buy,INO,38,17.85,SMAT,13:39:11,-3.04,0,0,0
Buy,INO,50,17.96,SMAT,13:42:58,0,0,0,0
Sell,INO,12,18.04,SMAT,13:43:24,0.96,0,0,0
Sell,INO,38,17.9,SMAT,13:52:28,-2.28,0,0,0
Sell,INO,50,17.75,SMAT,13:57:31,0,0,0,0
Buy,INO,12,17.65,SMAT,13:57:46,1.2,0,0,0
Buy,INO,9,17.6,SMAT,14:00:41,1.35,0,0,0
Buy,INO,15,17.36,SMAT,14:01:02,5.85,0,0,0
Buy,INO,14,17.42,SMAT,14:01:02,4.62,0,0,0
Buy,INO,50,17.92,SMAT,14:09:12,0,0,0,0
Sell,INO,12,18.04,SMAT,14:10:08,1.44,0,0,0
Sell,INO,9,18.15,SMAT,14:16:12,2.07,0,0,0
Sell,INO,14,18.27,SMAT,14:16:36,4.9,0,0,0
Sell,INO,3,18.43,SMAT,14:20:04,1.53,0,0,0
Sell,INO,12,18.42,SMAT,14:20:10,6,0,0,0
Sell,,,,,,0,0,0,0
Sell,,,,,,0,0,0,0
