Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:31:04,INO,SS,16.61,50,SMAT,,TRP204102,Short,
12:31:20,INO,B,16.54,12,SMAT,,TRP204102,Margin,
12:31:22,INO,B,16.48,38,SMAT,,TRP204102,Margin,
12:33:02,INO,SS,16.39,50,SMAT,,TRP204102,Short,
12:34:47,INO,B,16.36,12,SMAT,,TRP204102,Margin,
12:35:02,INO,B,16.16,9,SMAT,,TRP204102,Margin,
12:35:56,INO,B,16.03,14,SMAT,,TRP204102,Margin,
12:37:25,INO,B,16.2,15,SMAT,,TRP204102,Margin,
12:38:54,INO,B,16.27,50,SMAT,,TRP204102,Margin,
12:41:46,INO,SS,16.38,12,SMAT,,TRP204102,Short,
12:43:12,INO,SS,16.5,9,SMAT,,TRP204102,Short,
12:45:03,INO,SS,16.38,29,SMAT,,TRP204102,Short,
12:47:24,INO,B,16.56,50,SMAT,,TRP204102,Margin,
12:50:05,INO,SS,16.69,12,SMAT,,TRP204102,Short,
12:50:26,INO,SS,16.78,9,SMAT,,TRP204102,Short,
12:51:27,INO,SS,16.85,14,SMAT,,TRP204102,Short,
12:52:44,INO,SS,16.67,15,SMAT,,TRP204102,Short,
12:53:32,INO,B,16.9,50,SMAT,,TRP204102,Margin,
12:56:07,INO,SS,16.98,12,SMAT,,TRP204102,Short,
12:56:46,INO,SS,17.06,9,SMAT,,TRP204102,Short,
12:58:15,INO,SS,17.22,14,SMAT,,TRP204102,Short,
12:59:44,INO,SS,17.29,15,SMAT,,TRP204102,Short,
13:01:05,INO,B,17.2,50,SMAT,,TRP204102,Margin,
13:01:50,INO,SS,17.29,12,SMAT,,TRP204102,Short,
13:02:37,INO,SS,17.39,19,SMAT,,TRP204102,Short,
13:03:56,INO,SS,17.5,19,SMAT,,TRP204102,Short,
13:06:18,INO,SS,17.28,50,SMAT,,TRP204102,Short,
13:06:44,INO,B,17.4,50,SMAT,,TRP204102,Margin,
13:07:28,INO,B,17.42,50,SMAT,,TRP204102,Margin,
13:08:07,INO,SS,17.5,12,SMAT,,TRP204102,Short,
13:10:13,INO,SS,17.62,9,SMAT,,TRP204102,Short,
13:10:43,INO,SS,17.7,14,SMAT,,TRP204102,Short,
13:11:51,INO,SS,17.85,15,SMAT,,TRP204102,Short,
13:15:32,INO,SS,18.04,50,SMAT,,TRP204102,Short,
13:16:04,INO,B,17.92,12,SMAT,,TRP204102,Margin,
13:17:40,INO,B,18.1,38,SMAT,,TRP204102,Margin,
13:18:00,INO,B,18.1,50,SMAT,,TRP204102,Margin,
13:19:17,INO,SS,18.25,12,SMAT,,TRP204102,Short,
13:19:21,INO,SS,18.31,19,SMAT,,TRP204102,Short,
13:21:08,INO,SS,18.11,19,SMAT,,TRP204102,Short,
13:21:42,INO,SS,18,50,SMAT,,TRP204102,Short,
13:21:57,INO,B,17.9,12,SMAT,,TRP204102,Margin,
13:21:58,INO,B,17.78,19,SMAT,,TRP204102,Margin,
13:22:06,INO,B,17.98,19,SMAT,,TRP204102,Margin,
13:23:12,INO,B,18,50,SMAT,,TRP204102,Margin,
13:24:22,INO,SS,17.83,50,SMAT,,TRP204102,Short,
13:25:07,INO,SS,17.69,50,SMAT,,TRP204102,Short,
13:26:40,INO,B,17.8,50,SMAT,,TRP204102,Margin,
13:30:19,INO,B,18,50,SMAT,,TRP204102,Margin,
13:31:11,INO,SS,17.88,50,SMAT,,TRP204102,Short,
13:32:32,INO,B,17.9,50,SMAT,,TRP204102,Margin,
13:35:43,INO,SS,17.8,50,SMAT,,TRP204102,Short,
13:37:36,INO,SS,17.77,50,SMAT,,TRP204102,Short,
13:37:45,INO,B,17.72,12,SMAT,,TRP204102,Margin,
13:39:11,INO,B,17.85,38,SMAT,,TRP204102,Margin,
13:42:58,INO,B,17.96,50,SMAT,,TRP204102,Margin,
13:43:24,INO,SS,18.04,12,SMAT,,TRP204102,Short,
13:52:28,INO,SS,17.9,38,SMAT,,TRP204102,Short,
13:57:31,INO,SS,17.75,50,SMAT,,TRP204102,Short,
13:57:46,INO,B,17.65,12,SMAT,,TRP204102,Margin,
14:00:41,INO,B,17.6,9,SMAT,,TRP204102,Margin,
14:01:02,INO,B,17.36,15,SMAT,,TRP204102,Margin,
14:01:02,INO,B,17.42,14,SMAT,,TRP204102,Margin,
14:09:12,INO,B,17.92,50,SMAT,,TRP204102,Margin,
14:10:08,INO,SS,18.04,12,SMAT,,TRP204102,Short,
14:16:12,INO,SS,18.15,9,SMAT,,TRP204102,Short,
14:16:36,INO,SS,18.27,14,SMAT,,TRP204102,Short,
14:20:04,INO,SS,18.43,3,SMAT,,TRP204102,Short,
14:20:10,INO,SS,18.42,12,SMAT,,TRP204102,Short,
,,,,,,,,,
,,,,,,,,,
